"","downloaded","city","checkin","hotel_name","rating","stars","price_HUF","dist_center_km","dist_other_km","price_EUR","pricecat","price_avg","price_Sd","hotels","citytype"
"27","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Bastion Hotel Zaandam",3.9,3,29668,7.2,"Schiphol repülőtér. Amsterdam (AMS): 15",95.7032258064516,"avg",175.168028673835,137.256432680785,180,"big"
"28","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Belfort Hotel",2.1,3,62462,3.3,"Schiphol repülőtér. Amsterdam (AMS): 8.7",201.490322580645,"avg",175.168028673835,137.256432680785,180,"big"
"29","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Best Western Amsterdam Airport Hotel",3.7,4,36541,15,"Schiphol repülőtér. Amsterdam (AMS): 2.7",117.874193548387,"avg",175.168028673835,137.256432680785,180,"big"
"30","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Best Western Amsterdam Airport Hotel Uithoorn",3.2,3,32480,16,"Schiphol repülőtér. Amsterdam (AMS): 8.5",104.774193548387,"avg",175.168028673835,137.256432680785,180,"big"
"31","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Best Western Hotel De Rustende Jager",3.8,4,33183,21,"Schiphol repülőtér. Amsterdam (AMS): 9.3",107.041935483871,"avg",175.168028673835,137.256432680785,180,"big"
"32","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Best Western Leidse Square Hotel",3.9,3,77765,1.5,"Schiphol repülőtér. Amsterdam (AMS): 11",250.854838709677,"avg",175.168028673835,137.256432680785,180,"big"
"33","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Best Western Zaan Inn",4.1,3,35453,9.3,"Schiphol repülőtér. Amsterdam (AMS): 15",114.364516129032,"avg",175.168028673835,137.256432680785,180,"big"
"34","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Blue Mansion Hotel",4.4,3,49376,13,"Schiphol repülőtér. Amsterdam (AMS): 3.6",159.277419354839,"avg",175.168028673835,137.256432680785,180,"big"
"35","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Breeburg",3.3,3,27797,36,"Schiphol repülőtér. Amsterdam (AMS): 41",89.6677419354839,"avg",175.168028673835,137.256432680785,180,"big"
"36","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Carillon Hotel",3,2,40601,17,"Schiphol repülőtér. Amsterdam (AMS): 12",130.970967741935,"avg",175.168028673835,137.256432680785,180,"big"
"37","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Carlton President",4.1,4,30638,30,"Schiphol repülőtér. Amsterdam (AMS): 28",98.8322580645161,"avg",175.168028673835,137.256432680785,180,"big"
"38","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Carlton Square",4.4,4,34042,18,"Schiphol repülőtér. Amsterdam (AMS): 11",109.812903225806,"avg",175.168028673835,137.256432680785,180,"big"
"39","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","CHAO BB",3.5,3.5,33261,34,"Schiphol repülőtér. Amsterdam (AMS): 33",107.293548387097,"avg",175.168028673835,137.256432680785,180,"big"
"40","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","citizenM Hotel Amsterdam Airport",4.4,4,41240,12,"Schiphol repülőtér. Amsterdam (AMS): 0.4",133.032258064516,"avg",175.168028673835,137.256432680785,180,"big"
"41","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","ClinkNOORD - Hostel",4.3,2,49985,1.5,"Schiphol repülőtér. Amsterdam (AMS): 13",161.241935483871,"avg",175.168028673835,137.256432680785,180,"big"
"42","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Court Hotel City Centre Utrecht",3.8,4,30919,35,"Schiphol repülőtér. Amsterdam (AMS): 35",99.7387096774194,"avg",175.168028673835,137.256432680785,180,"big"
"43","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Courtyard by Marriott Amsterdam Airport",4.1,4,66834,17,"Schiphol repülőtér. Amsterdam (AMS): 6.3",215.593548387097,"avg",175.168028673835,137.256432680785,180,"big"
"44","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Crowne Plaza Amsterdam Schiphol",4.2,4,33714,15,"Schiphol repülőtér. Amsterdam (AMS): 3.3",108.754838709677,"avg",175.168028673835,137.256432680785,180,"big"
"45","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","De Palatijn",4.3,4,25297,29,"Schiphol repülőtér. Amsterdam (AMS): 35",81.6032258064516,"avg",175.168028673835,137.256432680785,180,"big"
"46","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Delta Hotel City Center",2.6,3,107746,0.4,"Schiphol repülőtér. Amsterdam (AMS): 12",347.567741935484,"above avg",175.168028673835,137.256432680785,180,"big"
"47","9/16/2015 4:12","Amsterdam, Netherlands","12/31/2015","Die Port van Cleve Hotel",3.8,4,140541,0.1,"Schiphol repülőtér. Amsterdam (AMS): 12",453.358064516129,"above avg",175.168028673835,137.256432680785,180,"big"
